date,open,high,low,close,volume,symbol
06-03-2025,647.6813692,650.3583652,630.1818025,634.1973267,16991501,TATAMOTORS
07-03-2025,634.544325,645.9462933,629.5869474,642.7735596,10123450,TATAMOTORS
10-03-2025,642.7735019,648.6727927,637.8656865,642.6248169,10309166,TATAMOTORS
11-03-2025,634.5442697,645.5992449,633.0074949,642.5256348,9534750,TATAMOTORS
12-03-2025,648.9206783,666.1723753,646.6898586,662.6030273,18732785,TATAMOTORS
13-03-2025,664.933048,666.1227701,644.0624409,649.9121704,14004345,TATAMOTORS
17-03-2025,659.3807579,660.7688478,651.8455684,655.414856,9174398,TATAMOTORS
18-03-2025,655.414856,655.414856,655.414856,655.414856,0,TATAMOTORS
19-03-2025,679.557315,679.9043072,672.7656717,676.4341431,9338414,TATAMOTORS
20-03-2025,679.1606638,686.7950366,673.2118112,684.1676025,9712600,TATAMOTORS
21-03-2025,687.0925095,698.9902153,682.6804315,696.9577026,14823483,TATAMOTORS
24-03-2025,703.9475606,711.3836264,696.0653187,707.4177246,11671359,TATAMOTORS
25-03-2025,712.8708436,716.886307,700.328655,704.2449951,13617465,TATAMOTORS
26-03-2025,704.2450371,711.730665,700.97318,702.2125244,9363180,TATAMOTORS
27-03-2025,662.3055917,670.8322563,655.464387,662.8508911,34238666,TATAMOTORS
28-03-2025,666.1227501,679.1111147,663.5944998,668.7006226,16013687,TATAMOTORS
01-04-2025,664.8338357,676.037496,660.0747658,666.1227417,9594669,TATAMOTORS
02-04-2025,669.1963512,669.5929051,656.4558557,666.1723633,8025225,TATAMOTORS
03-04-2025,654.3737804,663.2970593,646.9377147,648.3753662,13473832,TATAMOTORS
04-04-2025,644.4590496,644.4590496,604.8000312,608.6171875,26621179,TATAMOTORS
07-04-2025,555.7220189,577.0387422,531.1830003,574.8079224,49463598,TATAMOTORS
08-04-2025,586.160326,601.4290123,579.2199975,583.8303223,20987855,TATAMOTORS
09-04-2025,582.9875921,589.8287973,576.0968253,577.9310913,17483412,TATAMOTORS
11-04-2025,604.8000487,607.576168,585.9620144,589.977478,21055814,TATAMOTORS
15-04-2025,608.7659461,622.9440334,607.4274784,616.8960571,19722072,TATAMOTORS
16-04-2025,619.6721796,619.6721796,608.3693349,610.7984619,12318376,TATAMOTORS
17-04-2025,610.7984716,621.6551405,603.0649748,616.2515869,14342652,TATAMOTORS
21-04-2025,619.275524,630.3304992,614.9130685,624.6790771,12785568,TATAMOTORS
22-04-2025,624.8774289,628.5459004,620.8619653,625.47229,10292748,TATAMOTORS
23-04-2025,630.5288096,655.8609947,627.9509372,654.2746582,23390570,TATAMOTORS
24-04-2025,654.4729155,665.280022,654.4729155,662.6525879,15172229,TATAMOTORS
25-04-2025,662.6526112,667.2629964,645.9462736,649.6643066,13207043,TATAMOTORS
28-04-2025,648.7223744,663.8919367,646.9872924,662.4543457,10243493,TATAMOTORS
29-04-2025,665.726193,677.0785988,655.9601237,659.9260254,13754685,TATAMOTORS
